title,subtitle,author,publisher,genre,width,filename,bookcase,compartment
Maria, ihm schmeckt´s nicht!,,Jan Weiler,Ullstein,,21,maria_ihm_schmeckts_nicht,A,1
Meteor,,Dan Brown,Bastei Lübbe,Thriller,39,meteor,A,1
Night Vision,,Ronald Munson,Wiener Verlag,,44,night_vision,A,1
Schnee an der Riviera,,Rosa Cerrato,Aufbau-Verlag,Krimi,22,schnee_an_der_riviera,A,1
Tante Inge haut ab,,Dora Heldt,BB,Roman,27,tante_inge_haut_ab,A,1
"The C Programming Language,Second Edition,""Kernighan, Ritchie"",PH PTR,IT,15,the_c_programming_language,A,1"
Transeuropalauf 2003,,Ingo Schulze,Engelsdorfer Verlag,Bibliographie,15,transeuropalauf_2003,A,1
UbiComp 2007: Ubiquitous Computing,UbiComp 2007,Krumm et al. (Eds.),Springer,IT,31,ubicomp_2007_ubiquitous_computing,A,1
und besiege die Finsternis,,Marie Balter,Bastei Lübbe,Erfahrungen,19,und_besiege_die_finsternis,A,1
Vater unser bestes Stück,Ohne Mutter geht es nicht,Hans Nicklisch,Deutscher Bücherbund Stuttgart,,33,vater_unser_bestes_stueck,A,1
Warten auf Oho,,Robert Rankin,Bastei Lübbe,Roman,22,warten_auf_oho,A,1
Warum Männer nicht zuhören …,,A. & B. Pease,Ullstein,Wissen,25,warum_maenner_nicht_zuhoeren,A,1
An einem Tag wie jeder andere,,Joseph Hayes,Fischer,Roman,12,an_einem_tag_wie_jeder_andere,A,2
Android Design Patterns,Interaction Design Solutions for Developers,Nudelman,Wiley,IT,22,android_design_patterns,A,2
Champagner für Vier,,Doris Jannausch,Bastei Lübbe,Roman,17,champagner_fuer_vier,A,2
Das Paradies ist nebenan,,Cees Nooteboom,suhrkamp,Roman,8,das_paradies_ist_nebenan,A,2
Der neue große Freizeitführer für Deutschland,,,Unterwegs Verlag,Ratgeber,19,der_neue_grosse_freizeitfuehrer_fuer_deutschland,A,2
Der Spuk von Billerbeck,,Pestum,Schneider-Buch,Kinder,14,der_spuk_von_billerbeck,A,2
Der stille Herr Genardy,,Petra Hammesfahr,Wiener Verlag,Roman,33,der_stille_herr_genardy,A,2
Die große Flatter,,Leonie Ossowski,Beltz & Gelberg,Roman,20,die_grosse_flatter,A,2
Die Outsider,,Hinton,dtv pocket,Jugend,17,die_outsider,A,2
"Echt süß!,,""Patti Massmann, Susan Rosser"",Goldmann,Roman,26,echt_suess,A,2"
Es geschah nebenan,,Joyce Egginton,Heyne,Erfahrungen,35,es_geschah_nebenan,A,2
Es ist zum Verrücktwerden mit Alba,Frauen,Tania Kindersley,Bastei Lübbe,Roman,21,es_ist_zum_verruecktwerden_mit_alba,A,2
Familiengeheimnisse,,Marjorie Dorner,Heyne,Roman,24,familiengeheimnisse,A,2
Hartmut und ich,,Oliver Uschmann,Fischer,Roman,19,hartmut_und_ich,A,2
Hurra wir leben noch,,Simmel,Knaur,Roman,37,hurra_wir_leben_noch,A,2
Ich hab mein Herz im Wäschekorb verloren,,Erma Bombeck,Lingen,,26,ich_hab_mein_herz_im_waeschekorb_verloren,A,2
In letzter Minute,,Harold English,Goldmann,Roman,17,in_letzter_minute,A,2
"Interaktive Systeme 1,2. Aufl.,""Dreim, Dachselt"",Springer,IT,29,interaktive_systeme_1,A,2"
Jenseits von Afrika,,Tania Blixen,Heyne,Roman,27,jenseits_von_afrika,A,2
Kein Kind wie alle anderen,,Hayden,dtv,Sachbuch,18,kein_kind_wie_alle_anderen,A,2
Lampenschein und Sternenlicht,,Eric Malpass,Rowohlt,Roman,32,lampenschein_und_sternenlicht,A,2
Leben auf der Überholspur,,Mel Gilden,Heyne,Geschichten,16,leben_auf_der_ueberholspur,A,2
Modeling and Simulating Bodies and Garments,,Magnenat-Thalmann Ed.,Springer,IT,19,modeling_and_simulating_bodies_and_garments,A,2
Nirgendwo ist Poenichen,,Christine Brückner,Ullstein,Roman,20,nirgendwo_ist_poenichen,A,2
Oh, du fröhliche,,Jill Churchill,Econ,Krimi,17,oh_du_froehliche,A,2
Rätselhafte Vergangenheit,,,Moewig,Wissen,10,raetselhafte_vergangenheit,A,2
Robot Builder´s Bonanza,Fourth Edition,McComb,Mc Graw Hill,IT,26,robot_builders_bonanza,A,2
Säule des Himmels,,Cecelia Holland,SP,Roman,30,saeule_des_himmels,A,2
Shampoo Planet,,Douglas Coupland,Goldmann,Roman,22,shampoo_planet,A,2
Springflut,,Max von der Grün,Luchterhand,Roman,25,springflut,A,2
Spuk aus dem …,63,Wolf,Pelikan,Jugend,20,spuk_aus_dem,A,2
Tatwaffe Computer,,Joachim Soyka,Heyne,Wissen,19,tatwaffe_computer,A,2
Terra Magna,,John Knittel,Mohndruck,Roman,41,terra_magna,A,2
The Damned Utd,,David Peace,faber and faber,,25,the_damned_utd,A,2
The Design of Everyday Things,,Don Norman,Basic Books,Wissenschaft,25,the_design_of_everyday_things,A,2
"The Human-Computer Interaction Handbook,""Fundamentals, Evolving Technologies, and Emerging Applications"",Jacko,CRC,IT,64,the_human_computer_interaction_handbook,A,2"
"UbiComp´10,""Proceedings of the 2010 ACM Conference on Ubiquitous Computing, September 26-29, 2010, Copenhagen, Denmark"",,acm,IT,20,ubicomp_10,A,2"
Vom Knast Zur Kanzel,,Dyck/Bühne,Telos,Bibliographie,10,vom_knast_zur_kanzel,A,2
Wir sind nur Menschen,,Konsalik,Bastei Lübbe,Roman,15,wir_sind_nur_menschen,A,2
Wohin mit Nadeschda?,,Heiner Simon,Salzer,Liebesgeschichte,18,wohin_mit_nadeschda,A,2
"3D Imaging, Analysis and Applications,,""Pears, Liu, Bunting Eds."",Springer,IT,26,3d_imaging_analysis_and_applications,A,3"
"ACE 2007,""2007 International Conference on Advances in Computer Entertainment Technology, June 13th-15th, Salzburg, Austria"",,acm,IT,18,ace_2007,A,3"
Arduino Cookbook,Second Edition,Margolis,O´Reilly,IT,37,arduino_cookbook,A,3
Bitte ein Einzelzimmer mit Bad,,Evelyn Sanders,Heyne,Roman,17,bitte_ein_einzelzimmer_mit_bad,A,3
Computer Graphics for Artists II,,Paquette,Springer,IT,16,computer_graphics_for_artists_2,A,3
Dämonendreieck,Mark Mega und Phantom,Thomas Brezina,Schneider-Buch,Kinder,20,daemonendreieck,A,3
Dämonenlicht,,Marion Zimmer Bradley,Heyne,Roman,27,daemonenlicht,A,3
Das Geisterhaus,,Isabel Allende,Viva Maria Book,Roman,21,das_geisterhaus,A,3
Das Jahr der Graugans,,Lorenz,dtv,Sachbuch,10,das_jahr_der_graugans,A,3
Das Leben danach,,Bernard Jakoby,rororo,Sachbuch,15,das_leben_danach,A,3
Das Leuchten des Sanddorns,,Judith Kern,Knaur,Roman,34,das_leuchten_des_sanddorns,A,3
Die stillen Wasser des Todes,,Deborah Crombie,Goldmann,Roman,32,die_stillen_wasser_des_todes,A,3
Ein Pekinese namens Horation,,Seymour,Tosa Verlag,Jugend,22,ein_pekinese_namens_horatio,A,3
Heimatfront,,Franz Kurowski,Manfred Pawlak Verlagsgesellschaft,Geschichte,37,heimatfront,A,3
Herzflimmern,,Barbara Wood,Fischer,Roman,17,herzflimmern,A,3
Ich leb´ nicht mehr in eurer Welt,wahre Schicksale,Sarah Aziz,Weltbild,wahre Schicksale,26,ich_leb_nicht_mehr_in_eurer_welt,A,3
Illustrierte Weltgeschichte,,Johannes Bagusch,Lingen Verlag,Geschichte,48,illustrierte_weltgeschichte,A,3
Karl, das Kind ist weg!,,Bettina Schuler,Cden Books,Ratgeber,19,karl_das_kind_ist_weg,A,3
Lehrbuch,134 a,Ing. W. Müller,Verlag Werner Degener,Schule,13,lehrbuch,A,3
Make: Electronics,Learning by Discovery,Charles Platt,MakerMedia,Technik,15,make_electronics,A,3
Mein Kind hat Asthma,,Zenker,ETB,Ratgeber,14,mein_kind_hat_asthma,A,3
Menschensöhne,,Arnaldur Ingridason,Bastei Lübbe,Krimi,30,menschensoehne,A,3
Nadeschda heisst Hoffnung,,Lois Fisher-Ruge,Fischer,Erfahrungen,16,nadeschda_heisst_hoffnung,A,3
Paper Prototyping,,Snyder,Morgan Kaufmann,IT,25,paper_prototyping,A,3
"Programmieren in C,3. Aufl.,""Klima, Selberherr"",Springer,IT,15,programmieren_in_c,A,3"
Reden an die deutsche Jugend,,Adam Weyer,Jugenddient-Verlag,Geschichte,34,reden_an_die_deutsche_jugend,A,3
Salz auf unserer Haut,,Groult,Knaur,Roman,17,salz_auf_unserer_haut,A,3
Spieler unter sich,,Cornelia Jönsson,Anais,Roman,21,spieler_unter_sich,A,3
Sprengstoff,,Richard Bachman,Heyne,Roman,23,sprengstoff,A,3
Tanz mit dem Engel,,Ake Edwardson,Weltbild,Roman,35,tanz_mit_dem_engel,A,3
Tiramisu,Frauen,Dagmar Scherf,Bastei Lübbe,Roman,15,tiramisu,A,3
Touch of Class,,Bertrand Meyer,Springer,IT,45,touch_of_class,A,3
Traumfrau mit Nebenwirkungen,,Fried,Goldmann,Roman,24,traumfrau_mit_nebenwirkungen,A,3
Über die Köpfe hinweg,,Claus Peter Müller-Thurau,Econ,Sachbuch,16,ueber_die_koepfe_hinweg,A,3
Unheil über der Stadt,,Dean R. Koontz,Heyne,Roman,21,unheil_ueber_der_stadt,A,3
Unter Einfluss,,Campbell,Knaur,Roman,18,unter_einfluss,A,3
Versuchung in Rom,,Marie Louise Fischer,Naumann Göbel,Roman,17,versuchung_in_rom,A,3
Wallanders erster Fall,,Henning Mankel,dtv,Roman,24,wallanders_erster_fall,A,3
Weit wie das Meer,,Nicholas Sparks,Heyne,Roman,31,weit_wie_das_meer,A,3
Wenn Frauen zu sehr lieben,,Robin Norwood,Rowohlt,Sachbuch,27,wenn_frauen_zu_sehr_lieben,A,3
"3D Video and Its Applications,,""Matsuyama, Nobuhara, Takai, Tung"",Springer,IT,20,3d_video_and_its_applications,A,4"
Advanced Methods in Computer Graphics,,Mukundan,Springer,IT,24,advanced_methods_in_computer_graphics,A,4
Antidiätbuch,,Susie Orbach,Frauenoffensive,Ratgeber,12,antidiaetbuch,A,4
Art and Technology of Entertainment Computing and Communication,,Cheok,Springer,IT,25,art_and_technology_of_entertainment_computing_and_communication,A,4
C Primer Plus,Fifth Edition,Prata,Sams,IT,49,c_primer_plus,A,4
Das Dragonerhaus,,Marie Louise Fischer,Goldmann,Roman,23,das_dragonerhaus,A,4
Das große Tafelwerk,Für kaufmännische Schulen,,Cornelsen,Schule,12,das_grosse_tafelwerk,A,4
Dem Sieger eine Handvoll Erde,,Alistair MacLean,Lingen,Roman,40,dem_sieger_eine_handvoll_erde,A,4
Der Delta-Stern,,Joseph Wambaugh,Heyne,Roman,22,der_delta_stern,A,4
Der Fisch ohne Fahrrad,,Dunkel,Knaur,Roman,19,der_fisch_ohne_fahrrad,A,4
Der Mann der´s wert ist,,Eva Heller,Droemer Knaur,Roman,38,der_mann_ders_wert_ist,A,4
Der Rheinmann-Tausch,,Robert Ludlum,Kaiser Verlag,Roman,29,der_rheinmann_tausch,A,4
Der zweite Körper,,Robert A. Monroe,Heyne,,26,der_zweite_koerper,A,4
Die Firma,,John Grisham,Heyne,Roman,36,die_firma,A,4
Die Fremde im Spiegel,,Judy Mercer,Knaur,Roman,24,die_fremde_im_spiegel,A,4
Die zärtliche Versuchung,,Barbara Cartland,Erich Papel Verlag,,11,die_zaertliche_versuchung,A,4
E M Mungenast,,Christoph Gardar,Bertelsmann,Roman,35,e_m_mungenast,A,4
Ein Schloß für dieKopcheks,,Stagg,Ravensburger,,11,ein_schloss_fuer_die_kopcheks,A,4
Erfülltes Glück,,LaVyrle Spencer,Heyne,Roman,21,erfuelltes_glueck,A,4
Grundlagen der Programmierung,3. Auflage,,RRZN Hannover,IT,9,grundlagen_der_programmierung,A,4
HTML 4,Das Einsteigerseminar,Thomas Kobert,bhv,IT,24,html_4,A,4
Ich bin die Nacht,,Ethan Cross,Bastei Lübbe,Thriller,33,ich_bin_die_nacht,A,4
Inroduction to Computer Graphics,2nd Ed.,Klawonn,Springer,IT,15,introduction_to_computer_graphics,A,4
Irische Freundschaften,,Binchy,Knaur,Roman,41,irische_freundschaften,A,4
Lauf um dein Leben,,Peter-Paul Zahl,Das neue Berlin,Roman,22,lauf_um_dein_leben,A,4
Lippenstift und Ladyshave,,Rossana Campo,Goldmann,Roman,14,lippenstift_und_ladyshave,A,4
Mein Herz blieb in Afrika,,Miriam Mathabane,List,Erzählungen,29,mein_herz_blieb_in_afrika,A,4
Mobile HCI 09,The 11th International Conference on Human-Computer Interaction with Mobile Devies and Services,,acm,IT,12,mobile_hci_09,A,4
Old Surehand,Band 3,Karl May,Manfred Pawlak Verlagsgesellschaft,Erzählungen,21,old_surehand,A,4
"Pervasive Games,Theory and Design,""Montola, Stenros, Waern"",Morgan Kaufmann,IT,17,pervasive_games,A,4"
Sepp und seine Freunde,,Höfling,Fischer,Kinder,16,sepp_und_seine_freunde,A,4
Sommerprickeln,,Mary Kay Andrews,Fischer,Roman,38,sommerprickeln,A,4
Sprechen Sie Java?,4. Auflage,Hanspeter Mössenböck,dpunkt.verlag,IT,21,sprechen_sie_java,A,4
Sturmläuten über Abendland,,Ingeborg Engelhardt,dtv junior,Roman,12,sturmlaeuten_ueber_abendland,A,4
Trüffelträume,,Peter Mayle,Knaur,Roman,29,trueffeltraeume,A,4
Weiße mit Schuss,,Georg Lentz,Melzer,Roman,41,weisse_mit_schuss,A,4
Zur dunkelsten Stunde,,Ed O´Connor,Bastei Lübbe,Thriller,26,zur_dunkelsten_stunde,A,4
"Beginning Android Games,Second Edition,""Zechner, Green"",Apress,IT,42,beginning_android_games,B,1"
Beim nächsten Mann wird alles anders,,Eva Heller,Fischer,Roman,20,beim_naechsten_mann_wird_alles_anders,B,1
Betty und ihre Schwestern,,Louisa May Alcott,rororo,Roman,21,betty_und_ihre_schwestern,B,1
Bleiben Sie neugierig,,Vince Ebert,rororo,Wissen,16,bleiben_sie_neugierig,B,1
Briefe in die chinesische Vergangenheit,,H. Rosendorfer,dtv,Roman,14,briefe_in_die_chinesische_vergangenheit,B,1
"Control Theory for Humans,,""Jagacinski, Flach"",CRC,Technik,23,control_theory_for_humans,B,1"
"Crowd Simulation,,""Thalmann, Musse"",Springer,IT,17,crowd_simulation,B,1"
Das Gold der schwarzen Berge,,G. F. Unger,Zauberkreis-Verlag,Roman,10,das_gold_der_schwarzen_berge,B,1
Das Kind der Rache,,John Saul,Heyne,Roman,22,das_kind_der_rache,B,1
Die Kunst des Liebens,,Erich Fromm,Ullstein,Wissenschaft,13,die_kunst_des_liebens,B,1
Die schweigende Welt des Nicholas Quinn,,Colin Dexter,rororo,Roman,15,die_schweigende_welt_des_nicholas_quinn,B,1
Die sieben Wege zur Effektivität,,S. R. Covey,Campus Verlag,Ratgeber,16,die_sieben_wege_zur_effektivitaet,B,1
Die Straßen von London,,Maeve Binchy,Knaur,Roman,24,die_strassen_von_london,B,1
Die Traummalerin,,Katherine Scholes,Knaur,Roman,35,die_traummalerin,B,1
Ein Sturmwind auf Jamaika,,Hughes,suhrkamp,Roman,16,ein_sturmwind_auf_jamaika,B,1
Emotional Design,,Norman,Basic Books,Wissenschaft,18,emotional_design,B,1
Entschlüsselt,Akte X,Ted Edwards,Heyne,,30,entschluesselt,B,1
Fasten verändert mein Leben,,Niggemeyer/Lützner,Kösel,Ratgeber,16,fasten_veraendert_mein_leben,B,1
Festung Breslau,,Paul Peikert,Verlag Ossolineum,Geschichte,14,festung_breslau,B,1
Geheimnis des roten Leuchtturms,,Backhaus,Ravensburger,Kinder,10,geheimnis_des_roten_leuchtturms,B,1
Grand-Prix Angriff,,Ken Smith,Rattmann,Sachbuch,10,grand_prix_angriff,B,1
Immer wieder Afrika,,Kelly James,Ullstein,Erzählungen,25,immer_wieder_afrika,B,1
In einem Schloß zu wohnen,,Willi Heinrich,Mohndruck,Roman,31,in_einem_schloss_zu_wohnen,B,1
Jenseits der Prärie,,Jutta Besser,Karl Müller,Roman,24,jenseits_der_praerie,B,1
Konfliktbewältigung,Heft 38,,FH,Sachbuch,18,konfliktbewaeltigung,B,1
Königsjagd,,Jack Higgins,Knaur,Roman,11,koenigsjagd,B,1
Learning Libgdx Game Development,,Andreas Oehlke,Packt,IT,24,learning_libgdx_game_development,B,1
Liebeskind,,Christine Westendorf,RM Buch und Medien Vertrieb,Roman,31,liebeskind,B,1
Make Your Own PCBs with EAGLE,,Monk,Mc Graw Hill,IT,14,make_your_own_pcbs_with_eagle,B,1
Make: More Electronics,,Platt,MakerMedia,Technik,17,make_more_electronics,B,1
Man wettet nicht um Liebe,,Christine Weyden,kelter,Roman,10,man_wettet_nicht_um_liebe,B,1
Mit Fünfen ist man kinderreich,,Evelyn Sanders,Heyne,Roman,20,mit_fuenfen_ist_man_kinderreich,B,1
Mord hat keine Tränen,,Ann Granger,Bastei Lübbe,Krimi,27,mord_hat_keine_traenen,B,1
Mörder ohne Gesicht,,Henning Mankel,dtv,Roman,20,moerder_ohne_gesicht,B,1
Nach Norden zu,Das Reiselesebuch,Theodor Geus,Societäts-Verlag,Geschichten,25,nach_norden_zu,B,1
Programmieren mit Java,it,Schiedermeier,Pearson Studium,IT,29,programmieren_mit_java,B,1
Stupid White Men,,Michael Moore,Piper,,21,stupid_white_men,B,1
"Tierische Geschäfte,,""Wolf-Michael Eimler, Nina Kleinschmidt"",Droemer Knaur,Dokumentation,26,tierische_geschaefte,B,1"
Totenstille im Watt,,Klaus-Peter Wolf,Fischer,Roman,32,totenstille_im_watt,B,1
"Untergehen werden wir nicht,,""Bettina Haskamp, Gerhard Ebel"",Hoffmann und Campe,,30,untergehen_werden_wir_nicht,B,1"
Wer aber Gewalt sät,,Wilbur Smith,Goldmann,Roman,28,wer_aber_gewalt_saet,B,1
Zwei an einem Tag,,David Nicholas,Heyne,Roman,41,zwei_an_einem_tag,B,1
100 Jahre nach dem ersten Weltkrieg,Band 23,,Volksbund Forum,Geschichte,12,100_jahre_nach_dem_ersten_weltkrieg,B,2
Alf – Was wäre, wenn…,,Peter Mennigen,Bastei Lübbe,Cartoon,12,alf_was_waere_wenn,B,2
Alles über den blauen Dunst,,Lothar Schuh,Schangrila,Sachbuch,18,alles_ueber_den_blauen_dunst,B,2
An Introduction to Computer Graphics for Artists,2nd Ed.,Paquette,Springer,IT,20,an_introduction_to_computer_graphics_for_artists,B,2
Armer, armer Millionär,,Lang,dtv junior,Kinder,10,armer_armer_millionaer,B,2
Aus badischen Küchen,Essen & Genießen,Veronika Müller,blv,Kochbuch,10,aus_badischen_kuechen,B,2
Birdy,,William Wharton,Goldmann,Roman,20,birdy,B,2
Bridie und Finn,,Cauley,Knaur,Roman,25,bridie_und_finn,B,2
C Ein Nachschlagewerk,13. Auflage,,RRZN Hannover,IT,8,c_ein_nachschlagewerk,B,2
Casa Rossa,,Francesca Marciano,Goldmann,Roman,33,casa_rossa,B,2
Das Blut an euren Händen,,Liad Shoham,Dumont,Roman,26,das_blut_an_euren_haenden,B,2
Das große Lalula,,Elisabeth Borchers,Ellermann,Kinder,17,das_grosse_lalula,B,2
Das große Versprechen,,Catherine Gaskin,Scherz Verlag,Roman,33,das_grosse_versprechen,B,2
Das Haus oder Balsers Aufstieg,,Rudolf Hagelstange,Ullstein,Roman,19,das_haus_oder_balsers_aufstieg,B,2
Der Münchner im Himmel,,Thoma,dtv,,9,der_muenchner_im_himmel,B,2
Der verbotene Turm,,Marion Zimmer Bradley,Moewig,Science Fiction,23,der_verbotene_turm,B,2
Die endlose Steppe,,Esther Hautzig,Büchergilde Gutenberg,Roman,22,die_endlose_steppe,B,2
Die Liebe auf den ersten Blick,,Frank Wedekind,dtv,Erzählungen,10,die_liebe_auf_den_ersten_blick,B,2
Die Modemacher,,Rudolf Kinzel,Heyne,Sachbuch,24,die_modemacher,B,2
Die Ordenburg des Wüstenplaneten,,Frank Herbert,Heyne,Science Fiction,31,die_ordensburg_des_wuestenplaneten,B,2
Die Scheune im Schatten,,Jane Smiley,Fischer,Roman,13,die_scheune_im_schatten,B,2
Die weiße Löwin,,Henning Mankel,dtv,Thriller,28,die_weisse_loewin,B,2
Dunkle Ernte,,Mary Logue,Fischer,Roman,24,dunkle_ernte,B,2
Gespensterburg,,Lengstrand,Schneider-Buch,,12,gespensterburg,B,2
Im Angesicht des Feindes,,Elizabeth George,Blanvalet,Roman,46,im_angesicht_des_feindes,B,2
International Symposium on Distributed Objects and Applications,DOA´00,,IEEE Computer Society,IT,18,international_symposium_on_distributed_objects_and_applications,B,2
kein winter für wölfe,,Lütgen,Georg Westermann Verlag,Jugend,29,kein_winter_fuer_woelfe,B,2
Lieber Arm ab als arm dran,,Rainer Schmidt,Gütersloher Verlagshaus,Bibliographie,17,lieber_arm_ab_als_arm_dran,B,2
Long Tunnel,,Alan Dean Foster,Heyne,Roman,22,long_tunnel,B,2
Moby Dick,,Melville,Tosa Verlag,Jugend,36,moby_dick,B,2
Natalia, ein Mädchen aus der Taiga,,Konsalik,Bastei Lübbe,Roman,18,natalia_ein_maedchen_aus_der_taiga,B,2
Notwehr,,Marc Olden,Heyne,Roman,15,notwehr,B,2
"Pervasive Computing,Handbook,""Hansmann, Merk, Nicklous, Stober"",Springer,IT,21,pervasive_computing,B,2"
Reisende der Nacht,,Marisa Silver,Goldmann,,20,reisende_der_nacht,B,2
Roter Drache,,Thomas Harris,Heyne,Roman,30,roter_drache,B,2
Sami und Uri,,Cohen,dtv junior,Kinder,8,sami_und_uri,B,2
Sonnenstadt ohne Sterne,,E. Caldwell,rororo,,7,sonnenstadt_ohne_sterne,B,2
Super-Gruselpack,Band 8,,Cora,,16,super_gruselpack,B,2
Tante Tilli macht Theater,,Peter Härtling,Beltz & Gelberg,Kinder,12,tante_tilli_macht_theater,B,2
The Art of Electronics,Second Edition,Horowitz and Hill,Cambridge,Wissenschaft,49,the_art_of_electronics,B,2
"The Psychology of Human of Human-Computer Interaction,,""Card, Moran, Newell"",CRC,IT,26,the_psychology_of_human_computer_interaction,B,2"
Tini findet eine neue Heimat,,K. Theuermeister,Karo Buch,Kinder,17,tini_findet_eine_neue_heimat,B,2
"Visual Texture,,""Haindl, Filip"",Springer,IT,19,visual_texture,B,2"
Zeit des Grauens,,John Saul,Heyne,Roman,28,zeit_des_grauens,B,2
Aufbruch ins Abenteuer,,R. Messner,Bastei Lübbe,Erzählungen,14,aufbruch_ins_abenteuer,B,
AVR-Mikrocontroller in C programmieren,,Spanner,Franzis,IT,12,avr_mikrocontroller_in_c_programmieren,B,
"Brot zum Leben,,""De Haan, Bosch"",hänssler,Religion,22,brot_zum_leben,B,"
Das Geheimnis des Feuers,,Henning Mankel,Oetinger,Jugend,21,das_geheimnis_des_feuers,B,
Das große Tafelwerk interaktiv,Formelsammlung für die Sekundarstufen I und II,,Cornelsen,Schule,12,das_grosse_tafelwerk_interaktiv,B,
Das Haus der Krokodile,,Ballot,Georg Bitter Verlag,Krimi,19,das_haus_der_krokodile,B,
Das kleine alte Auto,,Breuer-Weber,Fischer,Kinder,12,das_kleine_alte_auto,B,
Der achte Schöpfungstag,,Thornton Wilder,S. Fischer Verlag,Roman,33,der_achte_schoepfungstag,B,
Der Adler ist gelandet,,Jack Higgins,Pavillon,Roman,29,der_adler_ist_gelandet,B,
Der Dschunken Doktor,,Konsalik,Heyne,Roman,18,der_dschunken_doktor,B,
Der Friede im Osten,,Erik Neutsch,Mitteldeutscher Verlag Halle,,28,der_friede_im_osten,B,
Der Friede sah ganz anders aus,,Heilwig von der Mehden,Herder,Geschichte,9,der_friede_sah_ganz_anders_aus,B,
Der Hengst im Moor,,P. C. Hass,Boja-Verlag,Jugend,24,der_hengst_im_moor,B,
Der Knochenpoet,,Susanne Kraus,Lingen Verlag,Roman,38,der_knochenpoet,B,
Der Kurier des Zaren,,Jules Verne,Bertelsmann,,22,der_kurier_des_zaren,B,
Der lange Schlaf,,Fran Dorf,Knaur,Roman,25,der_lange_schlaf,B,
Der Pferdeflüsterer,,Nicholas Evans,Goldmann,Roman,32,der_pferdefluesterer,B,
Der Schiffbruch der Mary Deare,,Hammond Innes,Bastei Lübbe,Roman,20,der_schiffbruch_der_mary_deare,B,
Der Stern von Kalifornien,,Hans-Otto Meissner,Mohndruck,Erfahrungen,31,der_stern_von_kalifornien,B,
Der vertauschte Koffer,,Karl-Heinz Köpcke,Schneider-Buch,Kinder,14,der_vertauschte_koffer,B,
Der Winter, der ein Sommer war,,Sandra Paretti,Karl Müller,,48,der_winter_der_ein_sommer_war,B,
Die dunkle Seite,,F. Schätzing,Emons,Thriller,30,die_dunkle_seite,B,
Die Herren der Insel,,Pat Conroy,Bastei Lübbe,Roman,39,die_herren_der_insel,B,
Die nach den Sternen greifen,,Burk,Moewig,Roman,16,die_nach_den_sternen_greifen,B,
Die Sieben Minuten,,Irving Wallace,Deutscher Bücherbund Stuttgart,Roman,51,die_sieben_minuten,B,
Die süße Frau,,Monika Tantzscher,Fischer,Erzählungen,22,die_suesse_frau,B,
Die vergessenen Tiere von Eld,,Patricia A. McKillip,Heyne,Fantasy,13,die_vergessenen_tiere_von_eld,B,
Die Vinland Saga,,Josef Nyary,Bastei Lübbe,,40,die_vinland_saga,B,
Die Vögel von Bangkok,,Vazquez Montalban,rororo,Thriller,18,die_voegel_von_bangkok,B,
